target,source,sep_weightedMean,pa_weightedMean,c0_weightedMean,c1_weightedMean,ssep_weightedMean,spa_weightedMean,sc0_weightedMean,sc1_weightedMean,ssep_medianErr,spa_medianErr,sc0_medianErr,sc1_medianErr,sysstd_sep,sysstd_pa,sysstd_c0,sysstd_c1,sysrms_sep,sysrms_pa,sysrms_c0,sysrms_c1,ncal,cals,pa_weightedMean_degrees,spa_weightedMean_degrees,spa_medianErr_degrees,sysstd_pa_degrees,sysrms_pa_degrees,dist,sdist,sep,ssep,projSep,sprojSep,2MASSphotFlag110,2MASSphotFlag170,m110,m170,sm110,sm170,M110,M170,sM110,sM170,logLA,logLB,slogLA,slogLB,qATMO0p9,maATMO0p9,mbATMO0p9,sqATMO0p9,smaATMO0p9,smbATMO0p9,qATMO1p2,maATMO1p2,mbATMO1p2,sqATMO1p2,smaATMO1p2,smbATMO1p2,qATMO1p5,maATMO1p5,mbATMO1p5,sqATMO1p5,smaATMO1p5,smbATMO1p5,qATMO1p9,maATMO1p9,mbATMO1p9,sqATMO1p9,smaATMO1p9,smbATMO1p9,qATMO2p4,maATMO2p4,mbATMO2p4,sqATMO2p4,smaATMO2p4,smbATMO2p4,qATMO3p1,maATMO3p1,mbATMO3p1,sqATMO3p1,smaATMO3p1,smbATMO3p1
data/10143/U20004/,2M 0004-4044,0.08319088112,0.7738399121,1.125983905,nan,0.000224630421,0.004544961219,0.008034902292,nan,0.00049,0.0099,0.018,nan,0.0001180847154,0.007259090852,0.003709447398,nan,0.0001190186863,0.007327634287,0.003715736393,nan,5,"2M 1539-0520, 2M 2148+4003, 2M 0727+1710, 2M 0355+1133, 2M 0243-2453",44.33776098,0.2604070959,0.5672282172,0.4159152689,0.4198425184,12.129407,0.03487500000000043,0.08319088112,0.00049,1.0090560557930959,0.006613739696618808,0.0,0.0,13.79627412,12.09627412,0.05,0.05,13.377076275157274,11.677076275157274,0.05038830662248215,0.05038830662248215,-4.164318236344465,-4.20826018834633,0.017564757535337674,0.017680056055003238,0.9703519851293873,61.22758939422344,59.412312913371736,0.01648843874644669,0.7052712625344382,0.7421828497036267,0.9767341423250858,66.09228892170898,64.5545951342472,0.01304376948493922,0.613970488237856,0.6193386750607386,0.9818842231068292,70.07737264780727,68.80786659966,0.010122898946204046,0.4944891797569054,0.5171926662113419,0.9865761452472611,72.85786049250365,71.87982715565697,0.007538143788212292,0.38352766953367423,0.398075487797438,0.989983589567038,74.66547317062124,73.91759314617299,0.005652816627871942,0.29012351229798367,0.30927233310076524,0.9922049062049951,75.82600374373126,75.23493293244849,0.004433052934884632,0.23317873018510984,0.24384957049782743
data/10143/U13016/,2M 0025+4759,0.3345483896,4.063003412,1.352909943,1.250589047,0.0003984896868,0.001016890005,0.01474991177,0.01019159261,0.00088,0.0022,0.033,0.023,4.96e-05,8.94e-05,0.002993325909,0.001019803903,4.97e-05,8.95e-05,0.002995344288,0.001019862724,5,"2M 2139+0220, 2M 0243-2453, 2M 2351-2537, 2M 0228+1639, 2M 0825+2115",232.7929477,0.05826350551,0.1260507149,0.005124690313,0.005128418739,53.99568034557235,0.40817468943737206,0.3345483896,0.00088,18.0641679049676,0.1445850427520376,0.0,0.0,15.55910117,13.55103254,0.05,0.05,11.897306081729578,9.889237451729578,0.05262559095137935,0.05262559095137935,-3.532092508015108,-3.6374825051018065,0.014031834229722854,0.01422395840766295,0.9589043577231203,82.78318148544332,79.38115347257553,0.007659581297113916,0.45405666785960636,0.46096929218415605,0.9655442727034423,84.15898774408326,81.25922861281879,0.006434783097645716,0.38729607692082874,0.3917027876936392,0.9727006440368412,84.41691049741182,82.11238320843286,0.005103150366190366,0.3065325654775151,0.31093389224035056,0.9778650726711837,84.33501508263218,82.46826565250349,0.00415119234843004,0.248148967710535,0.25235209793183144,0.9810833237995967,84.25199961200403,82.65823181610725,0.003545652451848548,0.21174993981079965,0.21466460809821308,0.9838022545185098,83.94518515275416,82.58546240925328,0.003044606407729181,0.18078588016964997,0.18354250419683835
data/10143/U20081/,2M 0147-4954,0.1388452706,1.267824019,2.345447425,2.021867815,0.0002034058838,0.001234309144,0.01497855851,0.00757256289,0.00042,0.0025,0.03,0.016,0.0008553034549,0.003391164992,0.2198994316,0.08075989104,0.0008557858256,0.003439731716,0.2204988409,0.08163661576,5,"2M 1058-1548, 2M 1421+1827, 2M 0123-4240, 2M 0926+5847, 2M 1750+1759",72.64096545,0.07072070457,0.1432394488,0.1942994416,0.19708211,34.69951,0.44011599999999973,0.1388452706,0.00042,4.817862855637405,0.06282186093142286,0.0,0.0,13.26710102,13.07889349,0.05,0.05,10.56548430970538,10.37727677970538,0.05708389479708719,0.05708389479708719,-3.277953014073013,-3.588723800763395,0.01503590359496198,0.015126572301629388,0.8896271433080397,90.99990655638368,80.95598691105417,0.00718005109783992,0.4870603924826384,0.4890397474771927,0.9062120835122722,91.14928003929666,82.60057897505459,0.006145863233024896,0.4136170062285822,0.4163176539627172,0.9244608808990996,89.97577382179706,83.17908312687666,0.005006195165005727,0.3291696476408344,0.3321018518162563,0.9380745859316044,88.83402534450937,83.33294154168829,0.004132090452085171,0.26701385911918235,0.26832976953567717,0.9467039246063204,88.09082995670781,83.3959344418433,0.003566970745350331,0.2272758465116595,0.22899234465099536,0.9540129617425575,87.22659701572641,83.21530416169767,0.003089098670063593,0.19369442745312065,0.1961068904707006
data/9833/SDSS-042348-041404/,2M 0423-0414,0.159111099,0.3450846168,1.654731116,2.123626924,0.0001205474184,0.0006583720549,0.005361071967,0.004796354059,0.000245,0.0014,0.011,0.0105,0.0001530318594,0.0008728545125,0.01541492783,0.006210223426,0.0001532732608,0.0008976715361,0.01542205732,0.006604598544,4,"2M 0415-0935, 2M 2228-4310, 2M 1108+6830, 2M 1110+0116",19.77189212,0.0377219401,0.08021409132,0.0500108797,0.05143279041,14.277903,0.18752350000000018,0.159111099,0.000245,2.271772837745397,0.030041427460017745,0.0,0.0,15.28,13.62,0.05,0.05,14.506677864201116,12.846677864201116,0.05756192899706981,0.05756192899706981,-4.48803517633142,-4.704863921052729,0.013509345347387116,0.014056960922458754,0.8451487206665937,48.21548649186284,40.74925672491531,0.014940334578385861,0.5533394235413205,0.5479157633104452,0.8506351742253785,53.60226126537748,45.595968850348626,0.01435022904540076,0.5954628004164692,0.5788883977091726,0.8589533048608899,59.17375701395379,50.82749414817087,0.012970070573096203,0.6135063946891708,0.5579754685472261,0.8758436184634943,64.16331088419987,56.197026377415725,0.010108696089482151,0.4847072441126917,0.49037512626782775,0.9029431182272176,68.05334942817612,61.448303538483785,0.008096460749428998,0.37099585000950114,0.43746350930593136,0.928622590744959,70.7351803551491,65.68628643821049,0.006039797411100099,0.26869291366438475,0.3467921573420405
data/10143/U10287/,2M 0429-3123,0.5336989824,4.976924681,3.495696339,2.771932886,0.001770556562,0.003048669913,0.1045799721,0.05715397782,0.004,0.0068,0.23,0.13,0.0001673320053,0.0002856571371,0.01019803903,0.004,0.0001673350997,0.0002856954916,0.010202559,0.004000562998,5,"2M 1221+0257, 2M 0213+4444, 2M 1043+2225, 2M 0314+1603, 2M 2237+3922",285.1567792,0.1746759192,0.3896113007,0.01636694835,0.01636914589,16.996489,0.04673000000000016,0.5336989824,0.004,9.071008883672794,0.07241603078917418,0.0,0.0,11.22679314,10.17460718,0.05,0.05,10.074997052345832,9.022811092345833,0.050355174671196656,0.050355174671196656,-2.9112544111243377,-3.3675793512962193,0.014038729872480681,0.017985286052009736,0.8565908470172587,102.85357925110569,88.10343456946137,0.006801821898698714,0.45376458384970364,0.5816770679052187,0.8760004246321108,101.23851702946983,88.68498390694076,0.00593762160889079,0.3865761720285313,0.49665158829329376,0.8980878088873941,98.00096658259606,88.01347334701043,0.004902054287042019,0.30630074473305946,0.39385053397985664,0.9152911857509247,95.32435752370137,87.2495442288137,0.004099762340207982,0.24872213575710395,0.31765438218916286,0.9263812732977248,93.6302634220398,86.73732264811062,0.0035864689125703173,0.21225273345378812,0.2722146989044846,0.9359325486433546,91.96107332290184,86.06936173108193,0.0031380840268354104,0.1814289174698925,0.23333561613231596
data/10143/U10617/,2M 0700+3157,0.1794106602,1.844450894,4.434276829,3.808644443,0.0003396291026,0.001510953715,0.06012011438,0.01643330667,0.00071,0.0031,0.12,0.033,0.0007575592386,0.003910805544,0.2567177438,0.05592137337,0.0007582072163,0.003944035101,0.2832624892,0.05669855764,5,"2M 1503+2525, 2M 1104+1959, 2M 0518-2828, 2M 1448+1031, 2M 0207+0000",105.6792518,0.08657127091,0.1776169165,0.2240726521,0.2259765655,11.229777,0.04786150000000067,0.1794106602,0.00071,2.0147417054687753,0.011717730567342172,0.0,0.0,13.17438877,11.26944791,0.05,0.05,12.922533109187393,11.017592249187393,0.0508493096298023,0.0508493096298023,-3.785871789717144,-4.350023851978652,0.013353291333978948,0.0146450481029792,0.7223421059795628,74.46339125205093,53.78804285538662,0.008808540289464014,0.45459679164481054,0.5677967420019366,0.7690404293529319,77.17651768812986,59.351862298843535,0.008639356773280695,0.36415793950187164,0.6050897746559468,0.8164141926637724,78.86404069449327,64.38572211379761,0.006942729096325293,0.2923054493237041,0.49278877216396627,0.8570354912555739,79.84346925709275,68.42868689830179,0.005494357763229043,0.2369396624922304,0.38885986706332676,0.8864200353735245,80.41812315047218,71.284235567714,0.004326153715579879,0.20165208054837452,0.2984697846370421,0.9071542828850669,80.67008296331181,73.18021126086198,0.0034686323802795515,0.17318270166456062,0.23154884875621612
data/10143/U20335/,2M 0915+0422,0.7386,3.577924,1.1168632,1.0864256,0.00015,0.0002,0.0002,0.0002,0.00015,0.0002,0.0002,0.0002,0.00015,0.0002,0.0002,0.0002,0.00015,0.0002,0.0002,0.0002,5,"2M 1043+2225, 2M 1425-3650, 2M 2224-0158, 2M 0439-2353, 2M 0213+4444",204.9999446,0.0114591559,0.0114591559,0.0114591559,0.0114591559,17.661837,0.2656080000000003,0.7386,0.00015,13.0450328082,0.19619595647983534,0.0,0.0,15.29576799,13.57149273,0.05,0.05,14.060588628143197,12.336313368143198,0.059719324140082714,0.059719324140082714,-4.405887045897768,-4.442597793001666,0.015094060622846097,0.01463023510898927,0.9703305431286497,51.66755092741522,50.13460275352598,0.01646777856841549,0.5935672344957136,0.6262743545412143,0.9745101511311753,57.088338505671246,55.63316538498938,0.014862314046367798,0.5959192138730441,0.6185838632999202,0.9788244479997075,62.46642469077199,61.143663666460185,0.012354422606475379,0.518819545973887,0.5811047914186224,0.9829771752596762,66.82606298662779,65.68849462832058,0.009621384156174289,0.4554937767872117,0.46143847710209646,0.9874943043464558,70.07214196400935,69.1958410828155,0.007062706711655959,0.34772496163830385,0.35639534577146254,0.990766761338834,72.27753283945871,71.61017712891173,0.005157410173662297,0.2601576957517659,0.26928741154854824
data/9833/SDSS-092615+584721/,2M 0926+5847,0.0672176055,2.343228039,1.521518995,2.704004492,7.15e-05,0.002461915454,0.00894694936,0.1236233821,0.00014,0.00495,0.0175,0.28,0.0003907284863,0.008800710199,0.005117372373,0.05309190145,0.0003978813723,0.009199151607,0.005263351806,0.05805849539,4,"2M 1254-0122, 2M 0516-0445, 2M 1750+1759, 2M 0207+0000",134.257077,0.141057365,0.2836141086,0.5042435511,0.5270725622,22.88329519450801,0.5760097188548927,0.0672176055,0.00014,1.538160308924485,0.03885030899307778,0.0,0.0,16.57,15.64,0.05,0.05,14.77240718485211,13.84240718485211,0.07407873980185617,0.07407873980185617,-4.684429998785218,-4.9718204567220665,0.017768262663720467,0.02592135405261832,0.8116311932502502,41.57514257954132,33.74368258138241,0.02160683565891583,0.6962293522465215,0.6983114639888575,0.812315167405295,46.431771013334725,37.71723184362132,0.019648451052908356,0.686940448788051,0.7217591870590002,0.8139746899305237,51.59669322900674,41.99840237252111,0.017821621127377823,0.6346537226142321,0.7607104654619291,0.8189736707636991,56.89025970619497,46.591624822282654,0.01659013237123871,0.6030312857545674,0.8042922678708758,0.8302512710548046,62.07041263709495,51.53403898684428,0.0157664593550586,0.5285290115612095,0.8747354207984894,0.8567072399754986,66.18549782060288,56.70159516429307,0.015119745293932134,0.42993511295954645,0.9304570585963742
data/9833/SDSS-102109-030420/,2M 1021-0304,0.1664008114,4.273016501,1.103624966,2.515927979,0.0002388192193,0.001135286499,0.006911298277,0.007689363804,0.00045,0.00225,0.0145,0.0155,0.001316985194,0.003289376841,0.005931905259,0.07400126688,0.001379570955,0.003290436451,0.006037648645,0.07400196752,4,"2M 2228-4310, 2M 1624+0029, 2M 2254+3123, 2M 0926+5847",244.8258113,0.06504712491,0.1289155039,0.1884674102,0.1885281214,29.673590504451035,1.056626368111016,0.1664008114,0.00045,4.937709537091987,0.17632981477127543,0.0,0.0,17.09,15.83,0.05,0.05,14.728149504356693,13.468149504356692,0.09208019750141237,0.09208019750141237,-4.639243018200495,-4.855523917490299,0.02096921763994647,0.022192945514736915,0.8419318290729073,43.237370229513374,36.402918201636666,0.016871696380941943,0.6822012445815259,0.44972774167428403,0.8436806722187762,47.97830193679407,40.47836602994983,0.016190743036939226,0.6798516974501322,0.5238640950729182,0.848329194714793,53.1105049524464,45.05519189720488,0.016666964706270354,0.7167382829971937,0.6433214253723984,0.8576950835638489,58.44484255691991,50.12785412073342,0.017239637095882703,0.7365172595564088,0.7849452189735674,0.8781611561306573,63.38361205525942,55.66102604218368,0.016369675236832262,0.6253448220972032,0.8803295566657896,0.9073432164721382,67.26214838574387,61.029854063147084,0.014136845516488306,0.5021963239754522,0.8345851877822942
data/9833/2MASS-155302+153237/,2M 1553+1532,0.3456602549,3.310694117,1.362608171,1.408084583,0.0003056247049,0.001060804007,0.01506984932,0.01133633698,0.00068,0.0023,0.034,0.027,0.0007303150005,0.002264862027,0.01418449858,0.004445222154,0.0007309204949,0.002265009923,0.01418990944,0.004446720263,5,"2M 0318-3421, 2M 2254+3123, 2M 0155+0950, 2M 0251-0352, 2M 2252-1730",189.6888001,0.06077959247,0.1317802929,0.1297670353,0.1297755091,13.315579227696405,0.159574185152154,0.3456602549,0.00068,4.602666509986685,0.05589669636410998,0.0,0.0,16.5456782,16.43324371,0.0357,0.0361,15.923877885020843,15.811443395020842,0.04417787966695378,0.04450174212171753,-5.340750031431116,-5.451192542685947,0.010897253188241631,0.00982025073682369,0.91330107510049,24.68889205689804,22.548391658604928,0.01115063224318093,0.22686560139012843,0.18126740932942564,0.9144566281263772,27.72060624776018,25.34929211894576,0.011031688913224872,0.2559603450121436,0.19680068369015347,0.9147536138509177,31.12901025535003,28.475374626683717,0.011002460097687065,0.28830426705580936,0.21852042030399974,0.9152341356983281,34.96101802615652,31.997517116303033,0.010851282898363313,0.31695202703832903,0.24448629111534828,0.9166829643144749,39.17812092616944,35.913916026871966,0.010417635782392186,0.32772796066913734,0.27627390163164495,0.9182403236152348,43.82357774800502,40.24057621330553,0.010016647975660825,0.3371544580750154,0.311199844175365
data/10143/U20701/,2M 1707-0558,1.0095,0.6091199089,5.152286,3.3419504,0.001,0.00087266,0.15,0.2,0.001,0.00087266,0.15,0.2,0.001,0.00087266,0.15,0.2,0.001,0.00087266,0.15,0.2,5,"2M 1753-6559, 2M 2237+3922, 2M 0213+4444, 2M 0314+1603, 2M 2028+0052",34.9,0.04999973495,0.04999973495,0.04999973495,0.04999973495,11.954854,0.029190999999999967,1.0095,0.001,12.068425113,0.031800944854394254,0.0,0.0,12.58740863,11.25262409,0.05,0.05,12.1996872469303,10.864902706930298,0.050280351044386384,0.050280351044386384,-3.6162544656704863,-4.1934946754147,0.013441283655896868,0.01629301654260085,0.7497891965859934,80.06516514682963,60.031995849966265,0.009341387092178575,0.4331768349032932,0.6737169155405389,0.7950755042444466,81.84047126268784,65.06935395678468,0.007851302278217754,0.3695741528302965,0.5714319151927519,0.8384998672684087,82.57544812226806,69.23950229015114,0.006447920249127681,0.293667887617423,0.47207825098494494,0.8716353747656984,82.84600044708901,72.21150464753765,0.0050738729903129325,0.23841403536930839,0.3653890427189875,0.8938872895057036,82.9814927475143,74.17610163121276,0.004018885102980826,0.2030428021508054,0.27977908926257006,0.9104295328985293,82.85974641905544,75.43796022839123,0.003272632833607445,0.17327318569307407,0.22056041158853737
data/10879/U20866/,2M 2028+0052,0.03904489339,2.065050739,1.705220671,nan,0.001408154696,0.008538970551,0.2868482914,nan,0.0033,0.0175,3.2,nan,0.003670830969,0.1096608408,2.103491146,nan,0.00387947066,0.1142202053,3.485950103,nan,4,"2M 0911+7401, 2M 2036+1051, 2M 1439+1929, 2M 0500+0330",118.3186918,0.489246974,1.002676141,6.283103354,6.544335696,34.024002,0.6773815000000027,0.03904489339,0.0033,1.328463530791147,0.11535220932759889,0.0,0.0,15.0,13.41,0.05,0.05,12.341073023826599,10.7510730238266,0.06609825529479198,0.06609825529479198,-3.746883353682088,-3.9456877581685843,0.2574431342727624,0.4592398893744002,0.9106026286614509,75.79086964528042,69.01536512752972,0.2343099523964902,8.707780454329384,15.889998076267348,0.9312941511916738,78.23748475734936,72.8621119584672,0.2028393153553794,7.362767421676687,14.311823678284476,0.9451628450047279,79.7418177684816,75.36900334790663,0.16792425882202788,5.845019418946372,12.197857882091471,0.9564569277593141,80.54671319565465,77.03946184422645,0.13848622614016154,4.698851073510985,10.209165527557628,0.9632852215624712,80.9806336239842,78.00744760274893,0.11529623209044197,3.9523590159334168,8.52525531244158,0.9687596654236375,81.15959723282288,78.62414426118666,0.09598683460359779,3.330781120647056,7.090576560729383
data/10143/U20925/,2M 2152+0937,0.254243823,1.645976678,1.1568,1.125618293,0.0002664683407,0.001412681217,0.008497058314,0.005447756307,0.00059,0.0032,0.019,0.012,3.38e-05,0.00016,0.0007483314774,0.0004898979486,3.38e-05,0.0001600344795,0.0007483314774,0.000490239352,5,"2M 0624-4521, 2M 1721+3344, 2M 0911+7401, 2M 1300+1912, 2M 0443+0002",94.30751684,0.08094067154,0.1833464944,0.009167324722,0.009169300252,24.390243902439025,4.164187983343248,0.254243823,0.00059,6.201068853658536,1.0588168650694199,0.0,0.0,16.02213721,14.02213721,0.05,0.05,14.086056493598678,12.086056493598678,0.37409564069553725,0.37409564069553725,-4.358548506570609,-4.408520222811335,0.09726184867840793,0.09766614224560775,0.9643337131742432,53.45797548298634,51.55132799628588,0.09921020355007094,3.8178501902855486,3.8174789175135078,0.9664217950950462,58.980487581034666,57.0000286836446,0.09115152345751978,3.8092538986801476,3.91800995287838,0.9735346341322945,64.0624137513284,62.36697853303117,0.07625521218561084,3.393034425906147,3.598994526791486,0.9786296093980151,68.2024733803331,66.74495988417391,0.059180623792012256,2.754656002706681,3.0040242912265738,0.9844353664258965,71.10888897283957,70.0021051721157,0.04388455194401592,2.117763263303381,2.321989429276776,0.9888739133788599,73.03736649249002,72.22474642631462,0.03229975886293342,1.6059264188135962,1.7445262615878794
data/10143/U20976/,2M 2252-1730,0.1267488266,6.177750115,2.568144973,3.213945394,0.0002992933926,0.001415077903,0.01379950976,0.02176143072,0.00065,0.003,0.028,0.044,0.0008579836828,0.009922620622,0.0263104542,0.3176035264,0.0008740521199,0.01059347194,0.02657564334,0.3232111542,5,"2M 0251-0352, 2M 0155+0950, 2M 0423-0414, 2M 2254+3123, 2M 0415-0935",353.9590085,0.08107799155,0.1718873385,0.5685242833,0.6069612324,16.531334,0.15945699999999974,0.1267488266,0.00065,2.0953271866326846,0.022889887191193708,0.0,0.0,15.09898962,13.45847553,0.05,0.05,14.007450117580486,12.366936027580486,0.054209893006427465,0.054209893006427465,-4.264267456514358,-4.651950010018426,0.014559561417874208,0.012779675340662239,0.7501422421517929,57.10708258767407,42.83843497506544,0.010765595376082971,0.5678917698035544,0.44327556317563827,0.7599736613559913,62.597922141714946,47.57277208331639,0.008926836758692607,0.49557971895619585,0.4128083597104518,0.7847086621713908,67.12590651625712,52.674280299413965,0.008264025969741795,0.4476933402774552,0.42931076242758,0.8218406822729137,70.57724666397547,58.00325255126533,0.007498537030793194,0.3470536222787422,0.4457894401299356,0.8641514037440059,72.91546952607845,63.01000534561398,0.0060405343614224,0.26778161048558996,0.37476265608028536,0.8993083782730876,74.45382402533849,66.95694774045701,0.004797110764021271,0.20772833536669624,0.30441241720760903
data/10879/U20979/,2M 2255-5713,0.1783136978,3.013152563,5.155379657,4.533122759,0.0003344772221,0.001610911936,0.06451492944,0.02280341476,0.00075,0.0039,0.14,0.063,0.0002720294102,0.00415528579,0.1917915535,0.09745234733,0.0002720545413,0.004199449867,0.1926933241,0.102992069,5,"2M 1110+0116, 2M 2339+1352, 2M 1217-0311, 2M 0908+5032, 2M 1043+2225",172.6409249,0.09229845511,0.2234535401,0.2380803385,0.2406107537,17.072746,0.15999000000000052,0.1783136978,0.00075,3.0443044708601588,0.03127022283516378,1.0,1.0,14.693368341554017,13.114588547661842,0.03018757628966751,0.03227466480709655,13.531851445782696,11.953071651890522,0.036405671316436475,0.03815412337043463,-4.052469506744995,-4.642624011116238,0.009982237833497484,0.010015228166933642,0.6606168861622955,65.29834743400069,43.13719095339326,0.005976001574655833,0.3454978204583298,0.3165118320702284,0.6870078426123747,69.6751484304582,47.86737340690607,0.005373083103611098,0.2925153764230373,0.31586089210470847,0.7271557007597503,72.87757051827123,52.993340859881634,0.005189368244770986,0.23089423774979176,0.3388768096536454,0.7774815503226661,75.01924289445364,58.32607726961247,0.0050133180246748005,0.18181898860830506,0.34851798382366755,0.828505363773396,76.3810100694217,63.28207653294565,0.0041772627603957335,0.14826809026502735,0.2944684356336144,0.8696977148951186,77.24348972951375,67.17848650828267,0.003380824041682821,0.12210201819225738,0.23858093618808154
data/10143/U12220/,2M 2351-2537,0.06264773048,6.086688185,2.575236151,2.925852887,0.0001796983341,0.002719115525,0.04860826392,0.3466957264,0.00034,0.00495,0.091,0.88,0.0004388835267,0.01417222195,0.1219665528,0.6305701785,0.0004536417013,0.01437180435,0.1313061886,0.6968631572,4,"SDSS 0837-0000, 2M 0825+2115, 2M 0228+1639, 2M 1213-0432",348.7415442,0.1557938436,0.2836141086,0.8120085041,0.8234437333,20.34327,0.18578600000000023,0.06264773048,0.00034,1.2744596960418695,0.01353916104499213,0.0,0.0,12.9,11.84,0.05,0.05,11.35789618410373,10.297896184103731,0.05378914428101421,0.05378914428101421,-3.3767406622070886,-3.7208033895931307,0.0170335573126041,0.02029140846253674,0.8731270636288384,87.80964392347822,76.66897655720041,0.009424935041447266,0.5508467080140955,0.6734985913410678,0.8929707739246198,88.43260501610729,78.96773174140354,0.007879368299425977,0.4676088248244771,0.5578201988960473,0.9142563917389739,87.81469707143197,80.28514808617842,0.006373800265392327,0.37243717115063424,0.44422593986924536,0.9300913981309072,87.08403907652317,80.99611565957,0.005230387373585483,0.3029070067141481,0.35790016607547953,0.9399838698226838,86.59836302835745,81.40106439970506,0.004507288071948439,0.25699172117034674,0.30659013478080976,0.9483379969305653,85.95112016226793,81.5107131286235,0.0038949008264996306,0.2197878539801401,0.2619681169820746
